City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
289,Touros,BR,-5.1989,-35.4608,79.7,82,3,13.56,clear sky
290,San Cristobal,VE,7.7669,-72.225,84.38,62,88,5.55,overcast clouds
291,Galesong,ID,-5.3166,119.3661,73.42,79,100,3.76,overcast clouds
292,Lavrentiya,RU,65.5833,-171.0,46.83,71,84,5.06,broken clouds
293,Talnakh,RU,69.4865,88.3972,42.42,88,100,11.99,overcast clouds
294,Alta Floresta,BR,-9.8756,-56.0861,82.74,51,96,2.77,overcast clouds
295,Solenzo,BF,12.1833,-4.0833,87.21,40,17,7.49,few clouds
296,Mafeteng,LS,-29.823,27.2374,44.51,32,0,4.5,clear sky
297,Karratha,AU,-20.7377,116.8463,61.21,54,0,13.31,clear sky
298,Sur,OM,22.5667,59.5289,86.76,61,65,9.73,broken clouds
299,Ostersund,SE,63.1792,14.6357,48.65,71,49,8.05,scattered clouds
300,Ouadda,CF,8.0777,22.4007,71.22,83,100,2.84,overcast clouds
301,Boende,CD,-0.2167,20.8667,70.93,99,100,6.35,heavy intensity rain
302,Tucupita,VE,9.0622,-62.051,82.9,73,85,4.68,overcast clouds
303,Akyab,MM,20.15,92.9,80.28,86,100,20.02,moderate rain
304,Bereda,ES,43.2686,-7.5406,56.91,100,98,5.37,overcast clouds
305,Maningrida,AU,-12.0667,134.2667,66.72,71,82,11.65,broken clouds
306,Ruwi,OM,23.5996,58.5507,87.49,67,70,6.17,broken clouds
307,Tucumcari,US,35.1717,-103.725,100.94,10,1,16.11,clear sky
308,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,70,25,0.98,scattered clouds
309,Broome,US,42.2506,-75.833,77.2,63,75,1.99,light rain
310,Egvekinot,RU,66.3167,-179.1667,35.58,91,100,5.39,overcast clouds
311,Salalah,OM,17.0151,54.0924,80.69,89,75,8.05,broken clouds
312,Houma,US,29.5958,-90.7195,79.99,87,90,14.97,overcast clouds
313,Komsomolskiy,UZ,40.4272,71.7189,74.62,31,0,11.5,clear sky
314,Ayan,RU,56.45,138.1667,49.39,59,100,2.66,overcast clouds
315,Wanning,CN,18.8003,110.3967,81.01,90,85,10.04,overcast clouds
316,Pinega,RU,64.7001,43.3936,59.88,71,100,4.7,light rain
317,Ondangwa,NA,-17.9167,15.95,60.8,41,0,4.61,clear sky
318,Portland,US,45.5234,-122.6762,81.81,46,20,1.99,few clouds
319,Sao Felix Do Xingu,BR,-6.6447,-51.995,80.56,61,67,2.24,broken clouds
320,Aykhal,RU,66.0,111.5,66.29,45,100,5.23,overcast clouds
321,Dabat,ET,12.9842,37.765,56.59,78,100,4.59,overcast clouds
322,Chokurdakh,RU,70.6333,147.9167,60.51,40,11,5.57,few clouds
323,Muti,PH,7.2758,122.28,76.73,84,100,1.88,overcast clouds
324,Bad Bevensen,DE,53.0833,10.5833,73.18,86,100,1.92,overcast clouds
325,Praia,CV,14.9215,-23.5087,73.94,73,20,16.11,few clouds
326,Yantai,CN,37.5333,121.4,68.43,53,0,10.74,clear sky
327,Palmer,US,42.1584,-72.3287,83.52,41,75,1.99,broken clouds
328,San Ramon,US,37.7799,-121.978,108.41,22,1,5.99,clear sky
329,Morden,CA,49.1919,-98.1014,71.98,59,77,10.36,broken clouds
330,Huai Thalaeng,TH,14.997,102.6475,80.64,83,58,7.52,broken clouds
331,Fortuna,US,40.5982,-124.1573,87.42,67,1,4.0,clear sky
332,Ahipara,NZ,-35.1667,173.1667,58.98,91,8,4.54,clear sky
333,Nanortalik,GL,60.1432,-45.2371,40.86,73,100,13.31,overcast clouds
334,Cockburn Town,TC,21.4612,-71.1419,84.16,74,40,13.8,scattered clouds
335,Rumuruti,KE,0.267,36.5389,56.97,79,100,8.25,overcast clouds
336,Marsh Harbour,BS,26.5412,-77.0636,82.08,76,100,11.59,overcast clouds
337,Victoria,HK,22.2855,114.1577,86.97,88,66,5.01,broken clouds
338,Isla Mujeres,MX,21.2311,-86.731,87.85,77,100,13.96,overcast clouds
339,Ntungamo,UG,-0.8833,29.65,62.56,97,76,3.06,light rain
340,Port Lincoln,AU,-34.7333,135.8667,53.15,72,65,10.83,broken clouds
341,Panaba,MX,21.2833,-88.2667,90.81,54,100,15.52,overcast clouds
342,Vostok,RU,46.4856,135.8833,55.18,90,99,3.0,light rain
343,Bambanglipuro,ID,-7.95,110.2833,74.8,92,100,2.64,overcast clouds
344,Belyy Yar,RU,53.6039,91.3903,55.29,94,0,2.24,clear sky
345,Malindi,KE,-3.2175,40.1191,76.69,81,14,16.11,light rain
