City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Hithadhoo,MV,2021-06-15 17:54:34,-0.6,73.0833,82.8,74,23,5.26
210,Qaanaaq,GL,2021-06-15 17:54:34,77.484,-69.3632,37.35,92,100,1.45
211,Nikolayevsk-Na-Amure,RU,2021-06-15 17:54:34,53.1406,140.73,55.6,82,98,4.36
212,Aklavik,CA,2021-06-15 17:54:35,68.2191,-135.0107,68.83,42,20,18.41
213,Horqueta,PY,2021-06-15 17:54:35,-23.3428,-57.0597,80.1,33,9,6.53
214,Jumla,NP,2021-06-15 17:54:36,29.2747,82.1838,58.59,95,100,3.27
215,Yashkul,RU,2021-06-15 17:54:36,46.1711,45.3435,79.3,45,25,8.93
216,Mahebourg,MU,2021-06-15 17:54:36,-20.4081,57.7,72.25,94,40,9.22
217,Khani,GE,2021-06-15 17:54:37,41.9563,42.9566,65.77,98,9,0.78
218,Labuan,MY,2021-06-15 17:54:37,5.2767,115.2417,79.16,94,20,1.99
219,Mogadishu,SO,2021-06-15 17:54:37,2.0371,45.3438,78.55,84,100,18.19
220,Havoysund,NO,2021-06-15 17:54:38,70.9963,24.6622,44.83,84,100,18.03
221,Bambous Virieux,MU,2021-06-15 17:54:38,-20.3428,57.7575,72.21,94,40,9.22
222,Houston,US,2021-06-15 17:51:44,29.7633,-95.3633,97.3,56,20,4.0
223,Zhireken,RU,2021-06-15 17:54:38,52.8249,117.3076,51.6,65,100,3.69
224,Lompoc,US,2021-06-15 17:54:39,34.6391,-120.4579,94.14,64,0,15.99
225,Los Llanos De Aridane,ES,2021-06-15 17:54:39,28.6585,-17.9182,69.55,83,75,14.97
226,Rocha,UY,2021-06-15 17:54:39,-34.4833,-54.3333,52.56,69,80,11.63
227,Stockach,DE,2021-06-15 17:54:40,47.85,9.0167,83.44,78,76,4.12
228,Ossora,RU,2021-06-15 17:54:40,59.2353,163.0719,49.66,58,87,7.54
229,Nanortalik,GL,2021-06-15 17:54:40,60.1432,-45.2371,37.94,88,100,7.87
230,Arraial Do Cabo,BR,2021-06-15 17:54:40,-22.9661,-42.0278,76.96,56,20,10.36
231,Sapulpa,US,2021-06-15 17:54:41,35.9987,-96.1142,92.14,45,1,3.44
232,Saint George,US,2021-06-15 17:54:41,37.1041,-113.5841,106.27,11,32,1.41
233,Airai,TL,2021-06-15 17:54:41,-8.9266,125.4092,59.5,95,76,2.26
234,Yaan,NG,2021-06-15 17:54:42,7.3833,8.5667,76.98,83,100,3.47
235,Mount Isa,AU,2021-06-15 17:54:42,-20.7333,139.5,65.97,82,75,1.14
236,Imeni Poliny Osipenko,RU,2021-06-15 17:54:42,52.4201,136.4853,58.78,83,100,8.28
237,Haines Junction,CA,2021-06-15 17:54:43,60.7522,-137.5108,53.55,76,75,2.3
238,Panama City,PA,2021-06-15 17:52:56,8.9936,-79.5197,87.3,78,40,9.22
239,Joao Camara,BR,2021-06-15 17:54:43,-5.5375,-35.8197,85.24,44,88,13.4
240,Shelburne,CA,2021-06-15 17:54:12,44.0787,-80.2041,68.56,31,8,17.2
241,Bambanglipuro,ID,2021-06-15 17:54:43,-7.95,110.2833,59.61,87,96,3.94
242,Hami,CN,2021-06-15 17:54:44,42.8,93.45,70.75,22,0,12.55
243,Elko,US,2021-06-15 17:53:06,41.0002,-115.5012,81.05,12,0,13.0
244,Beloha,MG,2021-06-15 17:54:44,-25.1667,45.05,62.83,80,0,6.38
245,Waipawa,NZ,2021-06-15 17:54:45,-41.4122,175.5153,55.02,92,24,4.21
246,Dikson,RU,2021-06-15 17:54:45,73.5069,80.5464,32.58,97,100,15.05
247,Norman Wells,CA,2021-06-15 17:54:45,65.282,-126.8329,60.84,59,20,12.66
248,Cheremshan,RU,2021-06-15 17:54:46,54.6667,51.5,67.01,87,64,7.96
249,Robertson,US,2021-06-15 17:54:46,36.5167,-86.8667,83.71,41,1,16.11
250,Norsup,VU,2021-06-15 17:54:46,-16.0667,167.3833,78.28,84,73,8.5
251,Deniliquin,AU,2021-06-15 17:54:46,-35.5333,144.9667,52.0,86,99,11.83
252,Aguimes,ES,2021-06-15 17:54:47,27.9054,-15.4461,72.66,63,20,27.63
253,Maputo,MZ,2021-06-15 17:54:47,-25.9653,32.5892,67.23,88,81,1.01
254,Adre,TD,2021-06-15 17:54:47,13.4667,22.2,92.62,13,36,8.63
255,Klaksvik,FO,2021-06-15 17:54:48,62.2266,-6.589,47.32,92,100,18.68
256,Marrakesh,MA,2021-06-15 17:54:28,31.6315,-8.0083,87.87,35,40,5.75
257,Saldanha,ZA,2021-06-15 17:54:48,-33.0117,17.9442,59.05,91,71,2.75
258,Fortuna,US,2021-06-15 17:54:49,40.5982,-124.1573,69.48,62,20,1.01
259,Cidreira,BR,2021-06-15 17:54:49,-30.1811,-50.2056,60.31,77,65,12.3
260,Currais Novos,BR,2021-06-15 17:54:49,-6.2608,-36.5178,89.8,33,98,6.6
261,Saint Peter,BB,2021-06-15 17:54:49,13.25,-59.6167,84.76,72,79,16.8
262,Chuy,UY,2021-06-15 17:54:50,-33.6971,-53.4616,54.45,53,29,11.61
263,Malanje,AO,2021-06-15 17:54:50,-9.5402,16.341,67.73,32,15,1.72
264,Saint Anthony,US,2021-06-15 17:54:50,45.0205,-93.218,81.01,45,1,1.99
265,Montepuez,MZ,2021-06-15 17:54:51,-13.1256,38.9997,62.62,54,94,2.39
266,Semirara,PH,2021-06-15 17:54:51,12.0697,121.3986,83.68,71,41,5.39
267,Sao Filipe,CV,2021-06-15 17:54:51,14.8961,-24.4956,74.43,81,76,5.08
268,Nowy Tomysl,PL,2021-06-15 17:51:06,52.3195,16.1284,71.78,81,99,8.21
269,Auki,SB,2021-06-15 17:54:52,-8.7676,160.7034,77.32,89,35,3.67
270,Kavieng,PG,2021-06-15 17:54:52,-2.5744,150.7967,81.95,77,29,13.24
271,Pekan,MY,2021-06-15 17:54:52,3.4836,103.3996,77.11,90,25,3.04
272,Souillac,MU,2021-06-15 17:54:53,-20.5167,57.5167,72.36,94,40,9.22
273,Cherskiy,RU,2021-06-15 17:54:53,68.75,161.3,44.01,55,19,2.24
274,Jurmala,LV,2021-06-15 17:54:53,56.968,23.7704,60.85,67,0,10.36
275,Nawada,IN,2021-06-15 17:54:54,24.8833,85.5333,80.89,69,83,4.32
276,Dankov,RU,2021-06-15 17:54:54,53.2515,39.1555,66.87,81,78,1.59
277,Cabo San Lucas,MX,2021-06-15 17:54:54,22.8909,-109.9124,98.51,69,16,9.31
278,Anloga,GH,2021-06-15 17:54:54,5.7947,0.8973,86.22,79,84,18.95
279,Bandarbeyla,SO,2021-06-15 17:54:55,9.4942,50.8122,78.8,81,99,29.71
280,Puqi,CN,2021-06-15 17:54:55,29.7167,113.8833,82.15,75,74,5.03
281,Bathsheba,BB,2021-06-15 17:54:56,13.2167,-59.5167,86.61,62,40,23.02
282,Chokurdakh,RU,2021-06-15 17:54:56,70.6333,147.9167,35.85,69,100,18.25
283,Half Moon Bay,US,2021-06-15 17:54:56,37.4636,-122.4286,77.61,57,20,3.0
284,Windsor,CA,2021-06-15 17:53:10,42.3001,-83.0165,76.57,64,1,1.99
285,Mgandu,TZ,2021-06-15 17:54:57,-5.95,34.1333,64.67,48,81,4.12
286,Bilibino,RU,2021-06-15 17:54:57,68.0546,166.4372,49.44,92,100,3.56
287,Sovetskiy,RU,2021-06-15 17:54:57,61.3614,63.5842,59.81,66,37,6.02
288,Daru,PG,2021-06-15 17:54:58,-9.0763,143.2092,77.27,92,41,9.19
289,San Francisco,US,2021-06-15 17:52:34,37.7749,-122.4194,79.11,62,20,3.0
290,Kieta,PG,2021-06-15 17:54:58,-6.2167,155.6333,78.31,85,90,4.12
291,Key West,US,2021-06-15 17:52:55,24.5557,-81.7826,88.0,84,75,13.8
292,Pedasi,PA,2021-06-15 17:54:58,7.5333,-80.0333,82.47,74,100,9.31
293,Burley,US,2021-06-15 17:54:59,42.5357,-113.7928,77.68,25,0,10.09
